determinand.definition,sample.sampleDateTime,sample.samplingPoint.easting,sample.samplingPoint.northing,sample.sampledMaterialType.label,Ammoniacal Nitrogen as N,pH,"Nitrogen, Total Oxidised as N",Nitrate as N,Nitrite as N,"Orthophosphate, reactive as P","Oxygen, Dissolved, % Saturation",Salinity : In Situ,Temperature of Water,BOD : 5 Day ATU,"Oxygen, Dissolved as O2","Nitrate, Filtered as N","Ammoniacal Nitrogen, Filtered as N","Nitrite, Filtered as N","Orthophosphate, Filtered as P","Nitrogen, Total Oxidised, Filtered as N",Turbidity : In Situ,Chlorophyll : Acetone Extract,Sample Depth below surface,Water Depth,Volume of Sample Filtered,NGR : Easting,NGR : Northing,"Nitrogen, Dissolved Inorganic : as N",Time of high tide,Time of sampling relative to previous high water,"Silicate, Filtered as SiO2"
153,2001-12-03T15:20:00,474130,85280,SEA WATER,0.188,8.07,0.039,0.022,0.017,0.04,92.0,34.41,11.48,,,,,,,,,,,,,,,,,,
154,2001-12-03T16:04:00,483000,85500,SEA WATER,0.16399999999999998,8.08,0.035,0.016,0.019,0.04,92.7,34.68,11.48,,,,,,,,,,,,,,,,,,
155,2001-12-05T10:01:00,470680,105280,FINAL SEWAGE EFFLUENT,21.7,6.86,1.0,0.9,0.1,2.99,,,14.65,30.7,,,,,,,,,,,,,,,,,
156,2001-12-11T09:11:00,466500,93300,ESTUARINE WATER,,8.07,,,,,,,,,,,,,,,,,,,,,,,,,
157,2001-12-11T14:24:00,464200,96000,SEA WATER,0.037000000000000005,8.09,0.256,0.244,0.012,0.014,87.3,34.6,9.41,1.0,,,,,,,,,,,,,,,,,
158,2001-12-14T09:25:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.5,5.94,5.94,0.004,0.011,79.1,,9.98,1.0,,,,,,,,,,,,,,,,,
159,2001-12-14T09:37:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.104,7.8,2.39,2.35,0.0379,0.095,88.2,,3.9,1.9,,,,,,,,,,,,,,,,,
160,2001-12-14T10:17:00,470680,105280,FINAL SEWAGE EFFLUENT,37.5,7.11,1.0,0.9,0.1,3.05,,,13.34,9.3,,,,,,,,,,,,,,,,,
161,2002-01-10T08:47:00,466500,93300,ESTUARINE WATER,,8.04,,,,,,,,,,,,,,,,,,,,,,,,,
162,2002-01-14T13:40:00,470680,105280,FINAL SEWAGE EFFLUENT,30.2,7.34,1.0,0.9,0.1,4.26,,,13.54,10.9,,,,,,,,,,,,,,,,,
163,2002-01-14T14:01:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.045,8.08,2.16,2.14,0.0248,0.13,96.1,,8.79,3.7,,,,,,,,,,,,,,,,,
164,2002-01-14T15:06:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.45,5.89,5.89,0.004,0.019,92.5,,10.42,2.5,,,,,,,,,,,,,,,,,
165,2002-01-22T09:46:00,470680,105280,FINAL SEWAGE EFFLUENT,29.0,7.13,1.2,1.1,0.1,2.59,,,13.4,12.8,,,,,,,,,,,,,,,,,
166,2002-01-25T07:27:00,468670,99700,ESTUARINE WATER,0.046,,0.193,0.189,0.004,0.025,97.6,33.8,7.51,,,,,,,,,,,,,,,,,,
167,2002-01-25T07:32:00,469000,101200,ESTUARINE WATER,0.055,,0.17,0.166,0.004,0.024,97.7,33.82,7.53,,,,,,,,,,,,,,,,,,
168,2002-01-25T07:41:00,468380,101980,ESTUARINE WATER,0.047,,0.265,0.259,0.006,0.035,99.1,33.83,7.45,,,,,,,,,,,,,,,,,,
169,2002-01-25T07:54:00,467500,104000,ESTUARINE WATER,0.063,,0.189,0.184,0.005,0.026,97.2,33.66,7.64,,,,,,,,,,,,,,,,,,
170,2002-01-25T08:26:00,470300,102000,ESTUARINE WATER,0.06,,0.18,0.17600000000000002,0.004,0.024,97.1,33.6,7.54,,,,,,,,,,,,,,,,,,
171,2002-01-25T08:38:00,471800,104300,ESTUARINE WATER,0.043,,0.259,0.253,0.006,0.029,93.2,32.98,8.01,,,,,,,,,,,,,,,,,,
172,2002-01-25T08:49:00,470300,104550,ESTUARINE WATER,0.132,,0.265,0.259,0.006,0.027000000000000003,94.5,32.9,7.86,,,,,,,,,,,,,,,,,,
173,2002-01-25T08:59:00,470600,103800,ESTUARINE WATER,0.063,,0.246,0.24,0.006,0.026,101.9,33.03,7.88,,,,,,,,,,,,,,,,,,
174,2002-01-31T12:25:00,466500,93300,ESTUARINE WATER,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
175,2002-02-07T06:47:00,468670,99700,ESTUARINE WATER,0.047,7.67,0.233,0.228,0.005,0.022,85.8,33.31,8.33,,,,,,,,,,,,,,,,,,
176,2002-02-07T06:54:00,469000,101200,ESTUARINE WATER,0.043,7.68,0.24,0.235,0.005,0.023,89.9,33.33,8.39,,,,,,,,,,,,,,,,,,
177,2002-02-07T07:00:00,468380,101980,ESTUARINE WATER,0.035,7.68,0.224,0.219,0.005,0.021,85.1,33.43,8.52,,,,,,,,,,,,,,,,,,
178,2002-02-07T07:18:00,467500,104000,ESTUARINE WATER,0.063,7.68,0.28,0.274,0.006,0.024,79.3,32.89,7.89,,,,,,,,,,,,,,,,,,
179,2002-02-07T07:44:00,470300,102000,ESTUARINE WATER,0.083,7.68,0.317,0.31,0.006999999999999999,0.026,82.2,32.24,8.03,,,,,,,,,,,,,,,,,,
180,2002-02-07T07:52:00,471800,104300,ESTUARINE WATER,0.12,7.66,0.413,0.404,0.009000000000000001,0.031,80.2,31.24,7.85,,,,,,,,,,,,,,,,,,
181,2002-02-07T08:04:00,470300,104550,ESTUARINE WATER,0.129,7.63,0.613,0.604,0.009000000000000001,0.031,72.5,30.37,7.51,,,,,,,,,,,,,,,,,,
182,2002-02-07T08:11:00,470600,103800,ESTUARINE WATER,0.098,7.66,0.384,0.376,0.008,0.026,83.8,31.33,7.78,,,,,,,,,,,,,,,,,,
183,2002-02-13T08:07:00,474130,85280,SEA WATER,0.017,8.04,0.168,0.162,0.006,0.053,91.5,34.4,9.58,,,,,,,,,,,,,,,,,,
184,2002-02-13T08:37:00,483000,85500,SEA WATER,0.015,8.05,0.179,0.174,0.005,0.021,87.6,34.02,9.73,,,,,,,,,,,,,,,,,,
185,2002-02-26T09:01:00,470680,105280,FINAL SEWAGE EFFLUENT,10.2,7.38,1.0,0.9,0.1,1.14,,,11.72,22.6,,,,,,,,,,,,,,,,,
186,2002-03-08T06:11:00,469000,101200,ESTUARINE WATER,0.098,7.67,0.207,0.203,0.004,0.016,87.6,34.12,8.6,,,,,,,,,,,,,,,,,,
187,2002-03-08T06:16:00,468380,101980,ESTUARINE WATER,0.1,7.69,0.219,0.215,0.004,0.018000000000000002,85.3,34.11,8.55,,,,,,,,,,,,,,,,,,
188,2002-03-08T06:36:00,467500,104000,ESTUARINE WATER,0.15,7.71,0.269,0.264,0.005,0.02,96.6,33.96,8.85,,,,,,,,,,,,,,,,,,
189,2002-03-08T06:54:00,470300,102000,ESTUARINE WATER,0.136,7.73,0.232,0.227,0.005,0.019,91.2,34.1,8.69,,,,,,,,,,,,,,,,,,
190,2002-03-08T07:04:00,471800,104300,ESTUARINE WATER,0.151,7.73,0.409,0.403,0.006,0.02,95.9,32.89,8.67,,,,,,,,,,,,,,,,,,
191,2002-03-08T07:09:00,470300,104550,ESTUARINE WATER,0.151,7.85,0.382,0.376,0.006,0.019,95.3,32.59,8.72,,,,,,,,,,,,,,,,,,
192,2002-03-08T07:14:00,470600,103800,ESTUARINE WATER,0.15,7.74,0.378,0.3720000000000001,0.006,0.029,83.4,33.02,8.77,,,,,,,,,,,,,,,,,,
193,2002-03-08T09:03:00,468670,99700,ESTUARINE WATER,0.145,7.7,0.241,0.236,0.005,0.021,92.7,34.12,8.49,,,,,,,,,,,,,,,,,,
194,2002-03-08T19:15:00,466500,93300,ESTUARINE WATER,,8.08,,,,,,,,,,,,,,,,,,,,,,,,,
195,2002-03-08T19:20:00,464200,96000,SEA WATER,0.152,8.09,0.268,0.265,0.003,0.022,95.2,34.8,8.57,,,,,,,,,,,,,,,,,,
196,2002-03-15T11:49:00,470680,105280,FINAL SEWAGE EFFLUENT,29.3,7.13,1.0,0.9,0.1,2.59,,,13.48,14.4,,,,,,,,,,,,,,,,,
197,2002-03-15T12:10:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.266,7.39,1.19,1.16,0.0349,0.091,91.6,,9.02,6.1,,,,,,,,,,,,,,,,,
198,2002-03-15T13:21:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.069,7.4,4.22,4.2,0.0197,0.064,98.3,,10.25,2.0,,,,,,,,,,,,,,,,,
199,2002-03-20T13:31:00,470680,105280,FINAL SEWAGE EFFLUENT,17.2,6.99,1.0,0.77,0.23,0.5,,,12.8,17.4,,,,,,,,,,,,,,,,,
200,2002-03-21T13:40:00,466500,93300,ESTUARINE WATER,,8.04,,,,,,,,,,,,,,,,,,,,,,,,,
201,2002-04-08T08:50:00,468670,99700,ESTUARINE WATER,0.018000000000000002,7.61,0.173,0.16899999999999998,0.004,0.006999999999999999,92.6,34.43,10.25,,,,,,,,,,,,,,,,,,
202,2002-04-08T08:56:00,469000,101200,ESTUARINE WATER,0.018000000000000002,7.67,0.135,0.131,0.004,0.004,93.0,34.45,10.03,,,,,,,,,,,,,,,,,,
203,2002-04-08T09:01:00,468380,101980,ESTUARINE WATER,0.018000000000000002,7.66,0.153,0.149,0.004,0.01,94.8,34.45,10.18,,,,,,,,,,,,,,,,,,
204,2002-04-08T09:17:00,467500,104000,ESTUARINE WATER,0.04,7.73,0.147,0.14300000000000002,0.004,0.002,90.5,34.23,10.15,,,,,,,,,,,,,,,,,,
205,2002-04-08T09:40:00,470300,102000,ESTUARINE WATER,0.03,7.72,0.129,0.124,0.005,0.009000000000000001,92.4,34.41,10.06,,,,,,,,,,,,,,,,,,
206,2002-04-08T09:52:00,471800,104300,ESTUARINE WATER,0.011,7.75,0.162,0.158,0.004,0.003,85.9,33.88,10.15,,,,,,,,,,,,,,,,,,
207,2002-04-08T10:02:00,470300,104550,ESTUARINE WATER,0.018000000000000002,7.76,0.229,0.224,0.005,0.004,92.6,34.32,10.16,,,,,,,,,,,,,,,,,,
208,2002-04-08T10:10:00,470600,103800,ESTUARINE WATER,0.023,7.77,0.177,0.172,0.005,0.003,95.4,34.22,10.2,,,,,,,,,,,,,,,,,,
209,2002-04-09T10:54:00,470680,105280,FINAL SEWAGE EFFLUENT,38.0,7.34,1.0,0.9,0.1,5.21,,,14.56,13.1,,,,,,,,,,,,,,,,,
210,2002-04-09T11:12:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.04,8.98,1.62,1.6,0.0202,0.051,157.1,,9.19,1.8,,,,,,,,,,,,,,,,,
211,2002-04-09T13:22:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.77,6.33,6.33,0.004,0.035,95.2,,11.6,1.3,,,,,,,,,,,,,,,,,
212,2002-04-15T13:26:00,466500,93300,ESTUARINE WATER,,8.07,,,,,,,,,,,,,,,,,,,,,,,,,
213,2002-05-03T12:03:00,470680,105280,FINAL SEWAGE EFFLUENT,31.7,6.87,1.0,0.9,0.1,3.43,,,15.49,8.7,,,,,,,,,,,,,,,,,
214,2002-05-03T12:24:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.037000000000000005,8.4,2.18,2.12,0.0635,0.139,150.9,,15.39,2.1,,,,,,,,,,,,,,,,,
215,2002-05-03T13:49:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.33,6.23,6.23,0.004,0.032,96.0,,11.84,1.0,,,,,,,,,,,,,,,,,
216,2002-05-07T08:17:00,468670,99700,ESTUARINE WATER,0.067,7.37,0.201,0.196,0.005,0.016,94.4,34.11,11.69,,,,,,,,,,,,,,,,,,
217,2002-05-07T08:33:00,469000,101200,ESTUARINE WATER,0.019,7.48,0.108,0.105,0.003,0.011,88.9,34.12,11.78,,,,,,,,,,,,,,,,,,
218,2002-05-07T08:38:00,468380,101980,ESTUARINE WATER,0.048,7.51,0.14800000000000002,0.14400000000000002,0.004,0.015,91.0,34.11,11.73,,,,,,,,,,,,,,,,,,
219,2002-05-07T08:53:00,467500,104000,ESTUARINE WATER,0.035,7.63,0.165,0.162,0.003,0.011,82.8,33.63,11.85,,,,,,,,,,,,,,,,,,
220,2002-05-07T09:10:00,470300,102000,ESTUARINE WATER,0.02,7.6,0.138,0.131,0.006999999999999999,0.018000000000000002,84.9,33.98,11.7,,,,,,,,,,,,,,,,,,
221,2002-05-07T09:19:00,471800,104300,ESTUARINE WATER,0.035,7.65,0.187,0.183,0.004,0.017,94.4,33.28,12.0,,,,,,,,,,,,,,,,,,
222,2002-05-07T09:24:00,470300,104550,ESTUARINE WATER,0.034,7.68,0.236,0.232,0.004,0.009000000000000001,83.4,31.94,11.8,,,,,,,,,,,,,,,,,,
223,2002-05-07T09:28:00,470600,103800,ESTUARINE WATER,0.043,7.65,0.184,0.179,0.005,0.01,81.1,33.55,11.9,,,,,,,,,,,,,,,,,,
224,2002-05-09T10:54:00,474130,85280,SEA WATER,0.113,8.03,0.331,0.328,0.003,0.064,95.4,34.781,11.92,,,,,,,,,,,,,,,,,,
225,2002-05-09T11:53:00,483000,85500,SEA WATER,0.058,8.13,0.384,0.368,0.016,0.153,104.0,34.78,12.12,,,,,,,,,,,,,,,,,,
226,2002-05-14T12:00:00,466500,93300,ESTUARINE WATER,,8.13,,,,,,,,,,,,,,,,,,,,,,,,,
227,2002-05-16T12:43:00,470680,105280,FINAL SEWAGE EFFLUENT,32.4,7.39,1.0,0.9,0.1,3.15,,,18.01,5.8,,,,,,,,,,,,,,,,,
228,2002-05-16T14:02:00,464200,96000,SEA WATER,0.07200000000000001,8.15,0.064,0.062,0.002,0.049,102.8,34.44,12.99,1.0,,,,,,,,,,,,,,,,,
229,2002-06-06T08:05:00,468670,99700,ESTUARINE WATER,0.024,7.85,0.095,0.092,0.003,0.013,94.0,34.14,14.67,,,,,,,,,,,,,,,,,,
230,2002-06-06T08:15:00,469000,101200,ESTUARINE WATER,0.019,7.88,0.081,0.078,0.003,0.009000000000000001,89.1,34.16,14.59,,,,,,,,,,,,,,,,,,
231,2002-06-06T08:20:00,468380,101980,ESTUARINE WATER,0.027000000000000003,7.88,0.087,0.084,0.003,0.01,95.3,34.14,14.66,,,,,,,,,,,,,,,,,,
232,2002-06-06T09:00:00,470300,102000,ESTUARINE WATER,0.023,7.99,0.078,0.075,0.003,0.006,85.6,33.91,14.59,,,,,,,,,,,,,,,,,,
233,2002-06-06T09:10:00,471800,104300,ESTUARINE WATER,0.026,8.07,0.057,0.054000000000000006,0.003,0.004,87.6,33.78,15.06,,,,,,,,,,,,,,,,,,
234,2002-06-06T09:15:00,470300,104550,ESTUARINE WATER,0.022,8.12,0.073,0.069,0.004,0.004,90.2,33.36,15.36,,,,,,,,,,,,,,,,,,
235,2002-06-06T09:25:00,470600,103800,ESTUARINE WATER,0.015,8.11,0.047,0.045,0.002,0.004,92.3,33.58,15.15,,,,,,,,,,,,,,,,,,
236,2002-06-06T09:50:00,467500,104000,ESTUARINE WATER,0.02,8.0,0.07,0.068,0.002,0.015,92.0,34.01,14.6,,,,,,,,,,,,,,,,,,
237,2002-06-07T12:29:00,470680,105280,FINAL SEWAGE EFFLUENT,22.5,7.28,1.0,0.9,0.1,1.71,,,15.84,12.1,,,,,,,,,,,,,,,,,
238,2002-06-07T12:52:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.125,7.74,1.9,1.85,0.0462,0.134,81.1,,13.62,2.0,,,,,,,,,,,,,,,,,
239,2002-06-07T14:29:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.078,7.58,4.84,4.81,0.0299,0.051,86.3,,12.07,1.2,,,,,,,,,,,,,,,,,
240,2002-06-13T14:05:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,
241,2002-06-25T10:04:00,464200,96000,SEA WATER,0.025,8.18,0.035,0.033,0.002,0.004,106.2,34.37,16.73,,,,,,,,,,,,,,,,,,
242,2002-06-26T07:16:00,474130,85280,SEA WATER,0.027000000000000003,8.1,0.045,0.041,0.004,0.01,103.8,34.58,16.3,,,,,,,,,,,,,,,,,,
243,2002-06-26T07:34:00,483000,85500,SEA WATER,0.016,8.18,0.01,0.009000000000000001,0.001,0.006999999999999999,105.7,33.5,16.69,,,,,,,,,,,,,,,,,,
244,2002-06-27T09:43:00,470680,105280,FINAL SEWAGE EFFLUENT,39.4,7.21,1.0,0.9,0.1,4.54,,,18.41,14.6,,,,,,,,,,,,,,,,,
245,2002-06-27T10:35:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,42.3,,,,,,,,,,,,,,,,,
246,2002-07-02T18:25:00,468670,99700,ESTUARINE WATER,0.026,8.0,0.19,0.188,0.002,0.01,95.2,33.25,17.17,,,,,,,,,,,,,,,,,,
247,2002-07-02T18:29:00,469000,101200,ESTUARINE WATER,0.019,8.04,0.016,0.014,0.002,0.008,94.6,34.17,17.05,,,,,,,,,,,,,,,,,,
248,2002-07-02T18:34:00,468380,101980,ESTUARINE WATER,0.017,8.07,0.017,0.015,0.002,0.008,96.1,34.2,17.09,,,,,,,,,,,,,,,,,,
249,2002-07-02T18:48:00,467500,104000,ESTUARINE WATER,0.012,8.08,0.013,0.012,0.001,0.006999999999999999,91.8,33.87,16.65,,,,,,,,,,,,,,,,,,
250,2002-07-02T19:05:00,470300,102000,ESTUARINE WATER,0.012,8.09,0.014,0.012,0.002,0.008,98.1,34.09,16.99,,,,,,,,,,,,,,,,,,
251,2002-07-02T19:12:00,471800,104300,ESTUARINE WATER,0.013,8.08,0.041,0.038,0.003,0.009000000000000001,94.2,33.16,16.38,,,,,,,,,,,,,,,,,,
252,2002-07-02T19:16:00,470300,104550,ESTUARINE WATER,0.023,8.08,0.026,0.023,0.003,0.011,94.0,33.26,16.38,,,,,,,,,,,,,,,,,,
253,2002-07-02T19:21:00,470600,103800,ESTUARINE WATER,0.018000000000000002,8.07,0.015,0.013,0.002,0.009000000000000001,91.8,33.5,16.49,,,,,,,,,,,,,,,,,,
254,2002-07-03T11:05:00,470680,105280,FINAL SEWAGE EFFLUENT,14.3,7.47,1.0,0.9,0.1,1.35,,,17.0,24.4,,,,,,,,,,,,,,,,,
255,2002-07-03T11:27:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.294,7.68,1.59,1.54,0.0467,0.194,86.9,,15.43,4.2,,,,,,,,,,,,,,,,,
256,2002-07-03T13:36:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.39,3.53,3.51,0.0171,0.086,87.1,,13.86,1.4,,,,,,,,,,,,,,,,,
257,2002-07-11T14:08:00,483000,85500,SEA WATER,0.006,8.15,0.025,0.023,0.002,0.003,99.7,34.45,16.44,,,,,,,,,,,,,,,,,,
258,2002-07-13T10:45:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,16.19,,,,,,,,,,,,,,,,,
259,2002-07-17T13:04:00,474130,85280,SEA WATER,0.028,8.16,0.006,0.005,0.001,0.003,98.2,34.73,17.29,,,,,,,,,,,,,,,,,,
260,2002-07-17T13:58:00,464200,96000,SEA WATER,0.023,8.16,0.009000000000000001,0.006999999999999999,0.002,0.006999999999999999,99.4,34.52,18.01,,,,,,,,,,,,,,,,,,
261,2002-07-24T12:05:00,466500,93300,ESTUARINE WATER,,8.14,,,,,,,,,,,,,,,,,,,,,,,,,
262,2002-07-30T09:50:00,483000,85500,SEA WATER,0.041,8.16,0.005,0.004,0.001,0.006999999999999999,105.4,34.64,19.23,,,,,,,,,,,,,,,,,,
263,2002-07-31T09:25:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,
264,2002-08-01T11:52:00,470680,105280,FINAL SEWAGE EFFLUENT,39.9,6.93,1.5,1.4,0.1,3.64,,,20.27,10.0,,,,,,,,,,,,,,,,,
265,2002-08-01T12:09:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.03,8.4,1.87,1.84,0.0313,0.248,174.0,,18.03,1.2,,,,,,,,,,,,,,,,,
266,2002-08-01T13:38:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.29,5.63,5.62,0.0051,0.026,97.6,,13.01,1.0,,,,,,,,,,,,,,,,,
267,2002-08-05T08:23:00,468670,99700,ESTUARINE WATER,0.038,7.61,0.006,0.005,0.001,0.008,,34.93,19.24,,,,,,,,,,,,,,,,,,
268,2002-08-05T08:23:00,469000,101200,ESTUARINE WATER,0.037000000000000005,7.67,0.008,0.006,0.002,0.006999999999999999,91.2,34.96,19.21,,,,,,,,,,,,,,,,,,
269,2002-08-05T08:40:00,468380,101980,ESTUARINE WATER,0.033,7.66,0.006999999999999999,0.006,0.001,0.006999999999999999,102.6,34.95,19.09,,,,,,,,,,,,,,,,,,
270,2002-08-05T09:01:00,467500,104000,ESTUARINE WATER,0.037000000000000005,7.73,0.006999999999999999,0.006,0.001,0.006999999999999999,102.5,34.84,19.55,,,,,,,,,,,,,,,,,,
271,2002-08-05T09:25:00,470300,102000,ESTUARINE WATER,0.06,7.71,0.029,0.027000000000000003,0.002,0.006999999999999999,87.1,34.93,19.2,,,,,,,,,,,,,,,,,,
272,2002-08-05T09:34:00,471800,104300,ESTUARINE WATER,0.053,7.8,0.011,0.01,0.001,0.006999999999999999,,34.53,19.88,,,,,,,,,,,,,,,,,,
273,2002-08-05T09:43:00,470300,104550,ESTUARINE WATER,0.054000000000000006,7.82,0.044,0.042,0.002,0.005,111.0,33.66,19.96,,,,,,,,,,,,,,,,,,
274,2002-08-05T09:51:00,470600,103800,ESTUARINE WATER,0.052000000000000005,7.8,0.006,0.005,0.001,0.006999999999999999,105.9,34.53,19.96,,,,,,,,,,,,,,,,,,
275,2002-08-05T19:46:00,466500,93300,ESTUARINE WATER,,8.16,,,,,,,,,,,,,,,,,,,,,,,,,
276,2002-08-06T10:28:00,470680,105280,FINAL SEWAGE EFFLUENT,35.0,7.2,1.0,0.9,0.1,4.36,,,20.7,6.5,,,,,,,,,,,,,,,,,
277,2002-08-13T13:05:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,13.29,,,,,,,,,,,,,,,,,
278,2002-08-14T14:01:00,464200,96000,SEA WATER,0.07,8.08,0.012,0.009000000000000001,0.003,0.005,94.0,34.72,19.05,1.0,,,,,,,,,,,,,,,,,
279,2002-08-29T12:48:00,464200,96000,SEA WATER,0.006999999999999999,8.09,0.018000000000000002,0.014,0.004,0.008,100.2,34.69,19.56,,,,,,,,,,,,,,,,,,
280,2002-08-30T10:35:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,
281,2002-09-03T10:55:00,470680,105280,FINAL SEWAGE EFFLUENT,38.9,7.36,1.0,0.9,0.1,5.24,,,20.47,18.3,,,,,,,,,,,,,,,,,
282,2002-09-03T11:48:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.03,8.85,2.45,2.4,0.0512,0.35,206.3,,18.57,2.0,,,,,,,,,,,,,,,,,
283,2002-09-03T13:31:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.86,5.38,5.37,0.0051,0.025,98.9,,13.73,1.1,,,,,,,,,,,,,,,,,
284,2002-09-06T09:15:00,474130,85280,SEA WATER,0.07,8.0,0.138,0.133,0.005,0.015,91.1,34.99,19.08,,,,,,,,,,,,,,,,,,
285,2002-09-06T09:40:00,466500,93300,ESTUARINE WATER,,8.01,,,,,,,,,,,,,,,,,,,,,,,,,
286,2002-09-10T08:10:00,474130,85280,SEA WATER,0.07,8.03,0.194,0.191,0.003,0.005,94.1,34.94,18.35,,,,,,,,,,,,,,,,,,
287,2002-09-10T08:35:00,483000,85500,SEA WATER,0.015,8.02,0.229,0.223,0.006,0.009000000000000001,93.0,34.81,17.93,,,,,,,,,,,,,,,,,,
288,2002-09-12T11:20:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,13.65,,,,,,,,,,,,,,,,,
289,2002-09-14T10:02:00,470680,105280,FINAL SEWAGE EFFLUENT,27.8,7.06,1.0,0.9,0.1,3.77,,,19.31,15.8,,,,,,,,,,,,,,,,,
290,2002-09-17T08:49:00,468670,99700,ESTUARINE WATER,0.01,7.77,0.157,0.153,0.004,0.014,101.2,34.9,17.84,,,,,,,,,,,,,,,,,,
291,2002-09-17T09:00:00,469000,101200,ESTUARINE WATER,0.009000000000000001,7.76,0.012,0.01,0.002,0.009000000000000001,99.1,34.89,17.76,,,,,,,,,,,,,,,,,,
292,2002-09-17T09:08:00,468380,101980,ESTUARINE WATER,0.01,7.79,0.019,0.016,0.003,0.01,99.7,34.88,17.33,,,,,,,,,,,,,,,,,,
293,2002-09-17T09:53:00,470300,102000,ESTUARINE WATER,0.012,7.85,0.02,0.018000000000000002,0.002,0.003,106.2,34.8,17.54,,,,,,,,,,,,,,,,,,
294,2002-09-17T10:06:00,471800,104300,ESTUARINE WATER,0.011,7.85,0.006,0.004,0.002,0.003,97.7,34.38,17.0,,,,,,,,,,,,,,,,,,
295,2002-09-17T10:15:00,470300,104550,ESTUARINE WATER,0.018000000000000002,7.85,0.021,0.019,0.002,0.005,100.8,34.47,17.17,,,,,,,,,,,,,,,,,,
296,2002-09-17T10:23:00,470600,103800,ESTUARINE WATER,0.013,7.84,0.02,0.018000000000000002,0.002,0.005,102.9,34.72,17.41,,,,,,,,,,,,,,,,,,
297,2002-09-17T11:53:00,467500,104000,ESTUARINE WATER,0.008,7.88,0.003,0.001,0.002,0.004,102.0,34.79,17.69,,,,,,,,,,,,,,,,,,
298,2002-09-25T11:17:00,470680,105280,FINAL SEWAGE EFFLUENT,28.2,7.18,1.0,0.9,0.1,3.12,,,19.0,13.2,,,,,,,,,,,,,,,,,
299,2002-09-25T11:52:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.039,8.96,3.61,3.56,0.0508,0.235,106.8,,14.58,7.6,,,,,,,,,,,,,,,,,
300,2002-09-25T14:06:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.98,5.47,5.46,0.0055,0.02,101.0,,12.71,1.0,,,,,,,,,,,,,,,,,
301,2002-09-28T09:20:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,12.24,,,,,,,,,,,,,,,,,
302,2002-10-02T08:00:00,468670,99700,ESTUARINE WATER,0.01,8.01,0.037000000000000005,0.031,0.006,0.003,81.4,35.27,16.55,,,,,,,,,,,,,,,,,,
303,2002-10-02T08:05:00,469000,101200,ESTUARINE WATER,0.009000000000000001,8.01,0.006,0.001,0.005,0.005,90.2,35.21,16.56,,,,,,,,,,,,,,,,,,
304,2002-10-02T08:12:00,468380,101980,ESTUARINE WATER,0.017,8.01,0.016,0.014,0.002,0.005,81.4,35.26,16.53,,,,,,,,,,,,,,,,,,
305,2002-10-02T08:21:00,467500,104000,ESTUARINE WATER,0.004,8.03,0.013,0.006999999999999999,0.006,0.004,81.0,35.21,16.5,,,,,,,,,,,,,,,,,,
306,2002-10-02T08:43:00,470300,102000,ESTUARINE WATER,0.004,8.03,0.012,0.006,0.006,0.213,85.0,35.25,16.52,,,,,,,,,,,,,,,,,,
307,2002-10-02T08:53:00,471800,104300,ESTUARINE WATER,0.018000000000000002,8.07,0.013,0.006,0.006999999999999999,0.016,80.1,35.06,16.15,,,,,,,,,,,,,,,,,,
308,2002-10-02T09:03:00,470300,104550,ESTUARINE WATER,0.006999999999999999,8.1,0.006999999999999999,0.0,0.006999999999999999,0.004,81.7,34.34,16.17,,,,,,,,,,,,,,,,,,
